번호,제목,내용
1, 빅데이터·AI 입혀 '한층 똑똑해진 119 신고시스템' ,"정확한 초동 대응이 가능하다. ETRI 제공 ETRI 연구진이 개발한 '119 신고 빅데이터 기반 지능형 재난 상황인지 및 대응지원 시스템' 화면으로, 빅데이터 분석과 AI 기술..."
2," 전북대·건강보험공단, 빅데이터 공동연구..국립대 의대 처음 ","간 교류를 위한 업무협약을 체결했다고 8일 밝혔다. 이번 협약에 따라 두 기관은 빅데이터 분석을 통해 환경오염이 인체에 미치는 영향, 코로나19 등 난치성 질환에 대한..."
3, 에이전트도 없이 '주급 6억' 받아낸 EPL 스타..'빅데이터' 활용 눈길 ,협상을 벌일 수 있다. 최근 맨체스터 시티와 재계약을 맺은 케빈 더 브라위너는 '빅데이터'를 사용해 에이전트 없이 주급 협상에 성공했다. 맨시티는 지난 7일 더 브라위너...
4, [빅데이터MSI]8일 오전 주식시장 심리 2단계 '나쁨' ,[서울=뉴시스] 유자비 기자 = 8일 오전 빅데이터로 분석한 주식시장 코스피 200종목의 시장심리지수(Market Sentiment Index·MSI)는 2단계 '나쁨'으로 나타났다. 뉴시스와...
5, 삼성카드 '빅데이터 맞춤형 마케팅' 띄운다 ,/삼성카드 홈페이지 캡쳐 [서울경제] 삼성카드가 제휴사가 직접 삼성카드 빅데이터 플랫폼에 접속해 맞춤형 마케팅을 기획·실행할 수 있는 서비스를 내놓았다. 이종 기업과...
6," 데이터스트림즈, 양진설 부사장 영입.. AI 기반의 차세대 빅데이... ",부사장 빅데이터플랫폼 기업 데이터스트림즈(대표 이영상)는 인공지능 기반 차세대 빅데이터 플랫폼 사업 강화를 위해 사업 개발·서비스를 총괄하는 양진설 부사장을 외부...
7," 빅데이터 분석, 인공지능 적용 지능형 119 긴급신고 접수시스템 개발 ",구축했다. 현재 실증을 위한 현장 관계자 의견을 수렴 중이다. 연구진은 119 신고 빅데이터를 분석하고 인공지능 기술을 적용했다. 이를 통해 대화 음성인식과 접수자를...
8," 충북대, 빅데이터 분야 핵심 인재 양성 ",교육부가 주관하는 ‘디지털 신기술 인재 양성 혁신공유대학’ 사업 선정을 위한 빅데이터 분야 컨소시엄을 구성하고 참여 대학 간 업무협약을 체결했다.[IMAGE1]이날...
9," [빅데이터MSI]시장심리 톱5, LG전자·LG·LG유플러스·LG디스플레... ",[서울=뉴시스] 유자비 기자 = 8일 빅데이터 시장심리지수(MSI)가 가장 높은 톱5에 LG전자·LG·LG유플러스·LG디스플레이·NH투자증권이 선정됐다. 뉴시스와 코스콤이 주요...
10, 경북 자동차세 체납자 늘어..빅데이터 활용 징수 ,경북도내 자동차세 체납자가 가장 많은 포항시 빅데이터 지도 © News1 김대벽 기자 (안동=뉴스1) 김대벽 기자 = 경북도는 7일 빅데이터를 활용해 자동차세 체납액 징수에...
