번호,제목,내용
1,"삼성카드, 빅데이터 마케팅 플랫폼 '링크(LINK) 파트너' 오픈"," 제휴사가 삼성카드 빅데이터와 알고리즘을 활용해 마케팅 진행 빅데이터 마케팅, 광고·리서치 서비스도 직접 이용 삼성카드는 제휴사가 마케팅 전과정을 직접 수행할 수 있도록 지원하는 빅데이터 마케팅 플랫폼인... "
2,"우리금융, 스타트업 개발 빅데이터 기반 기업분석 플랫폼 도입", 11일 우리금융은 스타트업 협력 프로그램 디노랩(Digital Innovation Lab)에 참여하고 있는 업체에서 개발한 빅데이터 기반 기업분석 플랫폼을 도입한다고 밝혔다. ㈜앤톡이 개발한 '허블데이터베이스' 시스템은 빅데이터... 
3,"심사평가원, '보건의료 빅데이터 활용 창업경진대회' 개최"," 빅데이터를 활용한 창업경진대회'를 개최한다고 11일 밝혔다. 보건복지부가 주최하고 심사평가원, 국민건강보험공단이 공동주관하는 이 대회는 보건의료빅데이터를 통한 새로운 가치 창출을 위해 2015년부터 매년... "
4,"카드사 ""빅데이터 팝니다""…돈 되는 미래 먹거리로 급부상", 신용카드사들이 ‘데이터 경제’에서 새로운 성장 돌파구를 찾고 있다. 데이터 중개 플랫폼인 금융데이터거래소에서 거래된 상위 11개 상품 중 7개(63.6%)가 카드사들이 유료 또는 무료로 제공한 데이터인 것으로... 
5,"우리금융, 스타트업이 개발한 빅데이터 플랫폼 도입", 빅데이터 기반 기업 분석 플랫폼을 도입한다고 11일 밝혔다. 앤톡이 개발한 '허블데이터베이스' 시스템은 빅데이터 큐레이션 플랫폼으로 70만개에 육박하는 국내 기업의 개별정보를 표본 조사 및 분석을 통해 개별 기업에... 
6,충북도 빅데이터 허브 플랫폼 구축 본격 추진," 충북도는 8일 오창 청주미래누리터지식산업센터 회의실에서 '충북 빅데이터 허브 플랫폼 구축사업 착수보고회'를 개최했다. 이번 착수보고회에는 충북도 관계자와 빅데이터 전문가로 구성된 외부자문위원, 사업수행사... "
7,"구리시, 대중교통 빅데이터 분석 '교통 소외지역 없다' 결과 밝혀"," 이번 대중교통(버스) 빅데이터 분석에는 시내버스 13개 노선 이용 인원 데이터와 마을버스 10개  노선 변경, 배차간격 조정 등 대중교통 업무의 효율성을 기했다. 버스 노선별, 정류장별, 시간별 차량 운행 횟수, 버스... "
8,알리바바에 3조원대 과징금 부과한 中…빅테크 견제 '본보기' [강현우의 중국...," 알리바바는 인공지능(AI)과 빅데이터 등의 기술을 이용해 소비자 맞춤형 가격 정책을 세운 뒤 입점업체들에... 양자택일과 같은 시장지배적 지위 남용 뿐 아니라 빅데이터를 활용한 가격 조작, 소액대출 연계 등도 소비자... "
9,[빅데이터MSI]12일 오전 주식시장 심리 6단계 '좋음'," 12일 오전 빅데이터로 분석한 주식시장 코스피 200종목의 시장심리지수(Market Sentiment Index·MSI)는 6단계 '좋음'으로 나타났다. 뉴시스와 코스콤이 공동으로 뽑아낸 빅데이터 MSI(http://m.newsis.com/stock.html, 모바일... "
10,"신한금융, 마이데이터에 자체 개발 AI엔진 심는다", 신한금융그룹이 마이데이터 기반 자산관리서비스에 신한AI가 자체 개발한 인공지능(AI) 엔진을 탑재한다. 축적해 온 AI 기술과 빅데이터 기반으로 자체 개발 AI 엔진을 무기 삼아 타 금융사와 차별화한 마이데이터... 
