번호,언론사,제목,내용
1,뉴데일리,"삼성카드, 'LINK 파트너' 오픈… 빅데이터 마케팅 플랫폼 고도화",  뉴데일리 이대준 기자 = 삼성카드는 자사의 고도화된 빅데이터와 AI 및 머신러닝 기반 알고리즘을 활용해 마케팅 전과정을 직접 수행할 수 있도록 제휴사를 지원하는 빅데이터 마케팅 플랫폼인 'LINK 파트너'를... 
2,머니투데이,"심사평가원, ‘보건의료빅데이터 활용 창업경진대회’ 개최","  보건의료빅데이터를 활용한 창업경진대회’를 개최한다. 보건복지부가 주최하고 심사평가원, 국민건강보험공단이 공동주관하는 이 대회는 보건의료빅데이터를 통한 새로운 가치 창출을 위해 2015년부터 매년... "
3,조선비즈,"우리금융, 스타트업이 개발한 빅데이터 기반 기업분석 플랫폼 도입",  우리금융지주는 스타트업 육성 프로그램인 ‘디노랩’ 참여 업체에서 개발한 빅데이터 기반 기업 분석 플랫폼을 도입한다고 11일 밝혔다. 앤톡이 개발한 ‘허블데이터베이스’는 70만개에 달하는 국내 기업 정보를... 
4,그린포스트코리아,"우리금융, 스타트업과 기술 동맹…빅데이터 기반 분석 플랫폼 도입",  빅데이터 기반의 기업 분석 플랫폼을 도입한다. 11일 우리금융지주는 스타트업 협력 프로그램 디노랩(Digital Innovation Lab) 참여 업체에서 개발한 빅데이터 기반 기업 분석 플랫폼을 도입한다고 밝혔다. ㈜앤톡이 개발한... 
5,금강일보,충북도 빅데이터 허브 플랫폼 구축 본격 추진,"  충북도는 8일 오창 청주미래누리터지식산업센터 회의실에서 '충북 빅데이터 허브 플랫폼 구축사업 착수보고회'를 개최했다. 이번 착수보고회에는 충북도 관계자와 빅데이터 전문가로 구성된 외부자문위원, 사업수행사... "
6,전자신문언론사 선정,"강남세브란스·KAIST·웨이센, AI 기반 의료 빅데이터 공동연구",  빅데이터 활용기술 공동연구 업무협약(MOU)'을 체결했다. 세 기관은 의료 빅데이터를 활용해 차세대 진단 및 예측 방법과 새로운 치료물질을 개발하는 등 다양한 의료분야 발전을 위해 힘을 모으기로 했다. 먼저... 
7,미디어리퍼블릭,"월클 그룹 '방탄소년단', 2021년 4월 빅데이터 분석 보이그룹 '평판 1위'","  보이그룹 브랜드평판 2021년 4월 빅데이터 분석결과, 1위 방탄소년단 2위 NCT 3위 세븐틴 순으로 분석되었다. 한국기업평판연구소는 2021년 3월 10일부터 2021년 4월 10일까지 측정한 보이그룹 브랜드 빅데이터... "
8,보안뉴스,"충북도, 빅데이터 허브 플랫폼 구축 본격 추진",  충북도는 지난 8일 ‘충북 빅데이터 허브 플랫폼 구축 사업 착수보고회’를 개최했다. 이번 착수보고회에는 충북도 관계자와 빅데이터 전문가로 구성된 외부자문위원·사업수행사 관계자 등 10여명이 참석했으며... 
9,뉴시스,"부산시-데이터산업진흥원, 데이터 경제 협력 협약…빅데이터 활용",  부산시는 데이터 전문기관인 한국데이터산업진흥원과 주력산업별 데이터 활용 수요발굴·사업관리·성과확산을 위한 MOU를 체결한다고 9일 밝혔다. 이 협약은 수도권에 집중돼 있는 데이터 활용 기회를 지역으로 확대... 
10,뉴스1,경북 자동차세 체납자 늘어…빅데이터 활용 징수,"  경북도는 7일 빅데이터를 활용해 자동차세 체납액 징수에 나선다고 밝혔다. 도는 9일까지 인터넷 지리정보시스템(QGIS)과 빅데이터공통기반(혜안)을 활용, 도내 전역을 3개 권역으로 나눠 22개 시·군과 함께... "
